status	hid	bestgeom
4	5320	EB4
0	41301	?
4	94638	EX5
4	94687	EB4
4	196589	EX4
0	231532	?
0	231557	?
0	264379	?
4	264569	EB4
3	388476	EX4
4	447649	EB4
4	581141	EB4
4	581180	EB4
0	706710	?
2	743569	?
1	795912	EX4
3	796175	?
2	831001	?
0	861036	?
0	861617	?
1	918636	EX4
3	1079897	EX4
4	1130025	EB4
1	1232127	EX4
3	1232164	EX4
4	1268839	EB4
3	1292085	EX5
2	1327666	EX4
4	1354437	EA5
0	1386703	?
4	1387186	EB4
4	1422331	EX5
0	1452004	?
1	1599902	EX4
4	1599988	EX4
4	1631506	EX5
0	1697496	?
4	1725139	EB4
4	1725272	EB4
4	1725372	EB4
0	1818295	?
4	1195448	EC4
4	95289	BB4
2	328299	EA5
1	831231	EX4
1	196078	EA5
1	1232313	EX5
1	1080116	EX5
1	94629	EX5
2	1327555	EX4
1	1354579	EA5
1	1232423	EA5
1	986237	EX5
1	1269057	EX5
1	616647	EX4
1	1666288	EX5
0	264007	?
1	65777	EX4
2	1507525	EB
1	1848643	EX4
1	1422429	EX5
1	831159	EX4
1	795802	EX4
2	1507355	EA5
1	1161351	EX4
1	1161558	EX4
2	767929	EX5
1	1631582	EX4
1	1327311	EX4
2	231050	EX4
1	1195075	EC4
2	1104552	EA5
